,Unnamed: 0,description,end_date,exhibitors,lat,lng,location,name,start_date,type,visitors,closest_iata
16,61,"The trade show CHIC - China International Fashion Fair takes place in Shanghai, China, PR. The frequency of the trade show is twice a year. In 2019 1365 exhibitors seized the trade show CHIC as a presentation platform for their products and services. With their trade show participation exhibitors occupied 117200 sqm. 103772 visitors attended CHIC to inform themselves on innovations and trends in their business. The main exhibit sectors of the trade show CHIC are:Men's wear, women's wear, manufacturing, kid's wear, footwear, casual wear, bags/suitcases, fashion accessories, fashion related resources. China World Trade Center Co., Ltd., The Sub-Council of Textile Industry, CCPIT TEX are the trade show organizers in charge of CHIC.",2019-03-14,-1,13.7397107,100.5112057,"Shanghai, China, PR",CHIC,2019-03-12,Tradeshow,103772,BKK
17,178,"China Information Technology Expo is an event for all consumer goods and electronics industries. With the theme of ""Driving Development by Innovation, Empowering the Future with Wisdom,"" the Expo focuses on displaying the latest development achievements of the new generation of the information technology industry, promoting the breakthrough of the industry's core technologies, and leading the supply-side reform of the information technology industry.",2019-04-11,1500,22.530732,114.059951,"Fuhua 3rd Rd FuTian CBD Futian Qu Shenzhen Shi Guangdong Sheng China 518000, Shenzhen, China",China Information Technology Expo,2019-04-09,Trade Show,100000,HKG
18,64,"The trade show SHEET METAL ASIA - Asia's Sheet Metal Fabrication Technology Exhibition takes place in Bangkok, Thailand. The frequency of the trade show is annual, within intermach. SHEET METAL ASIA is held at the venue BITEC - Bangkok International Trade & Exhibition Centre. SHEET METAL ASIA is open to the following types of visitors: Trade visitors. The year of the tradeshow's foundation is 1984. Informa Markets is the trade show organizer in charge of SHEET METAL ASIA. On m+a ExpoDataBase SHEET METAL ASIA is assigned to the business sector Metalworking.",2019-05-11,-1,13.7538929,100.8160803,"Bangkok, Thailand",SHEET METAL ASIA,2019-05-08,Tradeshow,95668,BKK
19,60,"The trade show Intertextile Shanghai Apparel Fabrics - Spring Edition - China International Trade Fair for Apparel Fabrics and Accessories is held in Shanghai, China, PR. The frequency of the trade show is annual, with Yarn Expo Spring and Intertextile Shanghai Home Textiles - Spring Edition. In 2019 Intertextile Shanghai Apparel Fabrics - Spring Edition was the presentation platform for 3273 exhibitors. 94661 visitors seized the opportunity to attend the trade show and inform themselves on news and trends in the following business sectors: Textiles, Fabrics, Home Textiles, Yarns, Fibres. China Textile Information Centre, CTIC, Messe Frankfurt (HK) Ltd, The Sub-Council of Textile Industry, CCPIT TEX are the trade show organizers in charge of Intertextile Shanghai Apparel Fabrics - Spring Edition.",2019-03-14,-1,13.7397107,100.5112057,"Shanghai, China, PR",Intertextile Shanghai Apparel Fabrics - Spring Edition,2019-03-12,Tradeshow,94661,BKK
20,166,"The trade show All in TUNING - High Performance Car Show takes place in Beijing, China, PR. The frequency of the trade show is annual. In 2016 203 exhibitors seized the trade show All in TUNING as a presentation platform for their products and services. With their trade show participation exhibitors occupied 25000 sqm. 72000 visitors attended All in TUNING to inform themselves on innovations and trends in their business. The main exhibit sectors of the trade show All in TUNING are:Luxury modified vehicles: street truck, SUVs, race cars, exotic, hot rod, concept car. Tuning products: dynamic system, ignition system, oil supply system, exhaust system, engines, computer chips, turbo charging system. Operation system: suspension, security system, transmission tires and rims. Illumination: hid, led, sport light, ornamental light, auto interior, dome light, fog-proof light, dashboard light, brake light. Auto appearance: body kit, balancing tail, air spoiler, accessories, car sticker. Off road: bumpers, fender, balancing lever, wade equipment, winches, preheating system, time delay flame-out device, temporary tire repairing device. YASN International Exhibition Co., Ltd. is the trade show organizer in charge of All in TUNING.",2018-12-16,-1,22.1630451,113.5557149826,"Beijing, China, PR",All in TUNING,2018-12-14,Tradeshow,72000,HKG
23,596,IBS New York is America's biggest professional-only beauty show brings with it an elaborate range of beauty and salon products that includes everything from skin-care to nail-care to hair-care products to those related to personal hygiene. Salon professionals flock to this event to stock up on their high-end product needs and check on the latest developments that have come about in the beauty industry.,2019-03-12,500,40.757777,-74.002591,"655 W 34th St New York NY 10001, New York, USA",IBS New York,2019-03-10,Trade Show,66500,NYC
24,53,"The trade show SFE - Shanghai International Franchise Exhibition is hosted at Shanghai, China, PR. The tradeshow's frequency is twice a year. SNIEC - Shanghai New International Expo Centre is the venue where SFE is held. The trade show organizer responsible for organisation and management of SFE is Shanghai UBM Sinoexpo International Exhibition Co., Ltd.. SFE welcomes the following kind of visitors: Trade visitors and public. 2005 is the year of the foundation of SFE. The emphasis of SFE lies on the following business sectors: Business, Franchising, Licensing.",2018-11-15,-1,13.7397107,100.5112057,"Shanghai, China, PR",SFE,2018-11-13,Tradeshow,50261,BKK
25,262,"WestPack is a premier packaging event concentrating on packaging engineering, and the usage of polymers for the same. This event exhibits techniques and products from latest technologies, including: packaging machinery, printing and labelling solutions, and packaging design solutions focused specifically on Beer and Spirits, Healthcare and Beauty. From writing purposeful and clear packaging display to high-speed and high-resolution printing techniques, this event brings with it some innovative trends.",2019-02-07,1900,33.800672,-117.920873,"800 W Katella Ave Anaheim CA 92802, Anaheim, USA",WestPack,2019-02-05,Trade Show,50000,LAX
26,594,"MJSA Expo is a flagship event focusing on connecting world trade of gems and jewellery. It is the trade alliance dedicated to professional excellence in jewelry making and design. Products and services like jewelry making and design of the latest bench tools, laser welders, casting machines, alloys, CAD/CAM systems, gemstones and beads in the Gems & Jewelry industry get displayed and engaged with. MJSA members find the expertise, connections, and support needed to maintain quality, reach new customers, and succeed.",2019-03-12,500,40.757777,-74.002591,"655 W 34th St New York NY 10001, New York, USA",MJSA Expo,2019-03-10,Trade Show,50000,NYC
27,237,"Digital Dealer is where top dealers go to get ahead of the technology curve, delivering the largest array of industry speakers, peer to peer opportunities, and exhibit hall offerings - all carefully designed to impart groundbreaking strategies. Our conference brings Dealer Principals, GMs, GSMs, Marketing Directors, ISMs, BDC Managers, and other top industry experts together to share best practices and discuss proven strategies to maximize results.",2018-10-18,500,36.121196,-115.174074,"3400 S Las Vegas Blvd, Las Vegas, NV 89109, Las Vegas, USA",Digital Dealer Conference & Expo,2018-10-16,Trade Show,50000,LAS
28,110,"WETEX is the leading global Water, Energy, Technology and Environment Exhibition. WETEX is the perfect platform to display and discuss all issues related to water conservation, saving natural resources and building a sustainable environment. WETEX attracts companies looking to present their latest technologies and state-of-the-art solutions in the field of water and electricity conservation.",2018-10-25,500,25.22444,55.287777,"Dubai World Trade Centre - Dubai, Dubai, UAE",WETEX,2018-10-23,Trade Show,50000,DXB
29,593,"New Jersey Golf Show showcases products from Sporting Goods, Toys & Games industries. This event promises unique and memorable golf experience to all attendees and promises good returns to the exhibitors. It is the largest golf show of New Jersey and with an array of entertainment and attractions, events and competitions, skill presentations and performances; it cannot be given a miss for it is essentially a pioneer in the Sporting Goods, Toys & Games industry.",2019-03-03,500,40.500206,-74.347009,"97 Sunfield Ave Edison NJ 08837, Edison, USA",New Jersey Golf & Travel Shows,2019-03-01,Trade Show,50000,NYC
30,678,"Suburban Home Show will provide comparison shopping under one roof for everything related to your home. Meet contractors, home improvement professionals, kitchen & bath designers and installers, pools & spas, landscapers, solar energy products, heating and A/C equipment. See displays of window shades, blinds, water treatment, waterproofing, garage doors, fencing, outdoor furniture, awnings, sheds, paving stones, and patio rooms.",2019-02-24,500,41.13347,-74.090226,"145 College Road Suffern NY 10901, Mahwah, USA",Suburban Home Show,2019-02-22,Trade Show,50000,NYC
31,540,The Professional Hairdresser Live brings to life ideas and innovations in a format that gives hairdressing professionals the chance to talk directly to key suppliers and manufacturers and get up close and personal with some of the biggest names in the industry.,2018-02-26,500,53.476566,-2.246441,"Windmill St Manchester M2 3GX, Manchester, UK",Professional Hairdresser Live,2018-02-25,Trade Show,50000,MAN
32,837,"Search Marketing Summit provides opportunity to the attendees for ideal training event that can be useful for getting their staff, colleagues or even their boss up to speed in the fundamentals of search engine marketing. It provides a platform for all marketers and attendees to share and explore knowledge related to marketing.",2019-05-10,500,-33.868964,151.205891,"77 York St, Sydney NSW 2000, Sydney, Australia",Search Marketing Summit,2019-05-07,Trade Show,50000,SYD
33,343,"United Makeup Artists Expo is a 2 day event being held from 28th to 29th April 2018  at the Novotel London West in London, United Kingdom. This event showcases products like United Makeup Artists expo is a trade show for professional / aspiring makeup artists & industry hair, wig / dressers and barbers from around the world. Alongside education seminars, expert demonstrations and one-to-one interaction with the icons of the TV, Film etc. in the Cosmetics and Beauty Products, Lifestyle & Fashion industries.",2018-10-14,500,51.491966,-0.220088,"Hammersmith International Ctre, 1 Shortlands, London W6 8DR, London, UK",United Makeup Artists Expo,2018-10-13,Trade Show,50000,LON
34,344,"Indie Beauty Expo goal is to provide a platform to recognize, showcase and celebrate independent beauty brands and to support the growth and success of the entrepreneurs behind them.",2018-10-25,70,51.520974,-0.072504,"91 Brick Ln, London E1 6QR, London, UK",Indie Beauty Expo,2018-10-24,Trade Show,50000,LON
35,366,"ICE Totally Gaming is the annual launch pad for gaming innovation, with literally hundreds of new product launches which provides a new way of learning at ICE VOX, which replaces ICE Conferences, offering solutions to key challenges from gaming visionaries.",2019-02-07,500,51.50846,0.029846,"Royal Victoria Dock 1 Western Gateway London E16 1XL, London, UK",ICE London,2019-02-05,Trade Show,50000,LON
36,814,"Singapore Food Expo will bring together too many exhibitors and showcasing different quality products, ranging from fresh interpretations of familiar products to newly commercialized fare. The event features good food, good value purchases along with lots of entertainments and fun-filled stage activities by both local and overseas artists, as well as TV celebrities.",2018-05-29,100,1.333525,103.959537,"1 Expo Dr, Singapore, Singapore",Singapore Food Expo,2018-05-25,Trade Show,50000,SIN
37,595,"Sugarloaf Crafts Festival Somerset offers the best in fine paintings, photography, leather accessories, jewelry, metal and glass sculpture, designer clothing and more.",2019-03-03,500,40.500206,-74.347009,"97 Sunfield Ave Edison NJ 08837, Edison, USA",SugarLoaf Crafts Festival,2019-03-01,Trade Show,50000,NYC
38,695,"Children's Great Event Shoe Show is an international platform for kids footwear industries. The event provides vendors and retailers that are in the children's shoe business a home to gather twice a year to view and buy future products for the following season as well as purchase goods that they might need for immediate delivery. This event shows product from Baby, Kids & Maternity industry. This event shows approx 300 lines of Children's Shoes (all Price Ranges) from Baby, to Big Boy & Big Girls, from all over the world. Please Be There!!",2018-08-02,500,40.871547,-74.004817,"100 Frank W Burr Blvd, Teaneck, NJ 07666, Teaneck, USA",Childrens Great Event Shoe Show,2018-08-01,Trade Show,50000,NYC
39,574,"Chester Craft Show feature products like crafts, antiques, home furnishings based products and services associated with this field, handmade jewelry, home decor, clothing, body care products, glass art, gourmet treats, and more.",2019-06-02,500,40.786154,-74.693994,"134 Main St, NJ 07930, Chester, USA",Chester Craft Show,2019-06-01,Trade Show,50000,NYC
41,275,"Fred Hall Show at the Long Beach Convention Center is the world's largest sportfishing shows. This event will cover areas like Marine & Boat industries, Travel & Tourism, fishing, boating and travel shows.",2019-03-10,500,33.765264,-118.189339,"300 E Ocean Blvd Long Beach CA 90802, Long Beach, USA",The Fred Hall Shows,2019-03-06,Trade Show,50000,LAX
42,257,"Pasadena Jackalope Art Fair features fashion and jewelry design, ceramics and paper goods, innovative home decor and housewares, art and photography, artisan-made food and much more.",2019-08-03,500,34.141959,-118.149747,"275 S Raymond Ave, Pasadena, CA 91105, USA, Pasadena, USA",Pasadena Jackalope Art Fair,2019-08-02,Trade Show,50000,LAX
43,284,"Japanese Classic Car Show is dedicated to Old School Japanese Cars. It offers room for cars plus the usual manufacturers' displays Toyota, Mazda, Nissan and honda and our vendor booths. Also, extending the eligibility model that means FC RX7s, DC Integras, NA Miatas, Mk3 Supras, R32 Skylines, and many more are now eligible to join us on the show field at JCCS.",2018-09-15,500,33.762738,-118.185761,"386 E Shoreline Dr, Long Beach, CA 90802, Long Beach, USA",Japanese Classic Car Show,2018-09-15,Trade Show,50000,LAX
44,592,"THE JMK SUMMERTIME DOLL & BEAR SHOW features Dolls & Teddy Bears for the Holiday Shopping & Collecting Pleasure. Choices include Antique, Vintage, Modern, Contemporary, Collectible, Celebrity, Fantasy, Fashion, New Born, Reborn & Superb Brand New Original Artist's Creations. Also Miniatures, Doll Houses, Furniture, Clothing, Accessories, Toys and much more.",2019-03-10,500,40.867574,-74.157943,"181 Colfax Ave, Clifton, NJ 07013, USA, Clifton, USA",The Summertime Doll & Bear Extravaganza,2019-03-10,Trade Show,50000,NYC
45,165,"Diving & Resort Travel Expo Hong Kong had become the most international dive exhibition in the Asia Pacific. Since then, DRT SHOW has been taking place across Asian cities including Hong Kong. It will exhibit the Dive Equipment and Manufacturers, Water Sports Equipment and Manufacturers, Wholesalers, Exporters, Underwater Photography and Videography, Diving-related Magazine and Electronic Media, Live-aboard Dive Operators, etc.",2018-12-16,500,22.283219,114.173103,"1 Expo Dr Wan Chai, Hong Kong, Hong Kong",Diving & Resort Travel Expo Hong Kong,2018-12-14,Trade Show,50000,HKG
46,873,"The Barcelona Building Construmat is home to an array of products and services such as construction machineries, construction equipments and accessories, construction technologies, products and materials and all construction related goods and services. The event is known to offer great networking and contacts with industry people. In addition to free training services, the event also promises to present the latest news and development that taking place within the industry. The visitors are entitled to get access to financing and allied services.",2019-05-17,500,41.35457,2.128083,"Av. Joan Carles I 64 08908 LHospitalet de Llobregat Barcelona, Barcelona, Spain",Barcelona Building Construmat,2019-05-14,Trade Show,50000,BCN
48,651,"This August, SHOPPE OBJECT will launch its new, year-round wholesale e-commerce platform -- SHOPPE ON! Expect a curated roster of hundreds of visionary brands and makers, both familiar and new. SHOPPE OBJECT is the ultimate resource for premier merchants and influential editors, and their new virtual platform has been designed to bring that same level of excitement and engagement to the screen for 24/7 discovery, wherever you are.",2019-08-12,500,40.708611,-74.005629,"Hosted Online, New York, USA",Shoppe Object,2019-08-10,Trade Show,50000,NYC
49,417,"City Fair is the event for European cities, destinations and suppliers to showcase all of their tourism products to the international travel trade in a productive business environment. It combines ETOA's long track record in running highly-targeted workshops with ECM's expertise in city marketing. ETOA's tour operator members alone represent a combined buying power of over EUR5 billion, while ECM has a membership of more than 100 cities.",2019-06-17,500,51.5073219,-0.1276474,"London, UK",City Fair,2019-06-17,Trade Show,50000,LON
50,520,"The Jacket Required London is a premium fashion trade show which features an inspiring, carefully edited international line-up of contemporary menswear and selected womenwear across apparel, footwear, accessories and lifestyle products. Jacket Required features the leading brands from across the globe, and attracts buyers from as far afield as Japan, Korea and the USA, as well as key stores from across Europe.",2019-01-24,500,51.490697,-0.158717,"Duke of York&#039;s HQ, King&#039;s Rd, Chelsea, London SW3 4RY, UK, London, UK",Jacket Required London,2019-01-23,Trade Show,50000,LON
52,497,"Brighton Rock Gem and Bead Show will display products like fine jewellery, beads and silver jewellery, mineral specimens, sparkling polished and carved crystals of every colour and ancient and rare fossils, gemstones, and meteorites.",2018-11-18,500,50.829191,-0.112578,"Freshfield Rd, Brighton BN2 9XZ, Brighton, UK",Brighton Rock Gem and Bead Show,2018-11-17,Trade Show,50000,LON
55,228,"JIS Exchange  is a jewelry trade event that bring together the best of at-show delivery from JIS Miami, JCK Las Vegas, and beyond. JIS Exchange is the premier destination and source for immediate at-show delivery.",2019-06-03,500,36.121545,-115.166255,"201 Sands Ave, Las Vegas, NV 89169, Las Vegas, USA",JIS Exchange,2019-05-30,Trade Show,50000,LAS
56,659,"RBS Business Career Fair is the largest recruitment event targeting Rutgers Business School programs, including both the New Brunswick and Newark business students.",2019-02-01,120,40.495682,-74.441696,"2 Albany St, New Brunswick, NJ 08901, New Brunswick, USA",RBS Business Career Fair,2019-02-01,Trade Show,45000,NYC
57,205,"Las Vegas Job Fair is an incredible employment opportunity to stand out in person in a way that you might not on your resume. It welcomes any job seekers searching for job opportunities in different industries like Health Care, Mining, Engineering, Finance, Administration, Accounting, Collections, Advertising, Marketing, Media, Telecommunications, Technology, Oil, Tourism, and much more.",2019-05-02,120,36.168502,-115.291004,"9090 Alta Dr Las Vegas NV 89144, Las Vegas, USA",Las Vegas Job Fair,2019-05-02,Trade Show,45000,LAS
58,34,"In 2018 the tradeshow YOU Summer Festival - the leading event for youth culture served as a presentation platform for 200 exhibitors. These tradeshow exhibitors presented their companies and services on a total of 26200 sqm at YOU Summer Festival. 42000 visitors came to YOU Summer Festival to inform themselves on the latest trends and innovations in the following main exhibit sectors: Sporting goods, fashion for young people, food, health, communications, cosmetics, music, hi-fi, consumer electronics, computers, games, publications, services, banks, assurances, job, education / training, fashion, education, lifestyle goods. In general the following kind of visitors are welcome at YOU Summer Festival: The public. The frequency, at which YOU Summer Festival is held, is annual. YOU Summer Festival is hosted by the trade show organizer Messe Berlin GmbH.",2019-05-26,-1,52.5170365,13.3888599,"Berlin, Germany",YOU Summer Festival,2019-05-24,Tradeshow,42000,BER
59,65,"The main exhibit sectors of the trade show MTA - International Precision Engineering, Machine Tool and Metalworking Exhibition and Conference are:Precision engineering, machine tools, metalworking. Laser, light / photon beam, ultrasonic, EDM, ECM, ionic beam or plasma arc process - machining centres - lathes (including turning centres) - drilling, boring, milling, threading and tapping machines - deburring, sharpening, grinding, honing, lapping and polishing machines - planing, shaping, slotting, broaching, gear cutting, gear grinding, sawing and cutting off machines - forging, hammering and die stamping machines including presses - tools for pressing, stamping, punching, tapping, drilling, boring, broaching, milling and turning - tool holders and work holders - measuring and testing equipment - machine components and accessories - software for machines, manufacturing and product development. In 2019 849 exhibitors presented innovations and trends at the trade show MTA. 38595 visitors seized MTA as an information platform. MTA is open to the following types of visitors: Trade visitors. Informa Markets, Informa Markets are the trade show organizers in charge of MTA.",2019-05-11,-1,13.7538929,100.8160803,"Bangkok, Thailand",MTA,2019-05-08,Tradeshow,38595,BKK
60,496,"The National Asian Wedding Show provides the attendees with the opportunity to meet with wedding professionals who will provide them with the information regarding everything needed to plan a perfect wedding starting from cakes to catering, photographers, DJs, dresses, venues, tuxes, and much more.",2018-11-11,500,51.491966,-0.220088,"Hammersmith International Ctre, 1 Shortlands, London W6 8DR, London, UK",The National Asian Wedding Show,2018-11-10,Trade Show,35000,LON
61,274,"Business Career Expo provides opportunities to meet employers that come to campus to recruit students and alumni for jobs and internships. Even if you are not ready to apply for a job or an internship now, you can still start to prepare for networking with recruiters and learning about upcoming opportunities and requirements.",2019-03-07,145,33.88177,-117.888414,"800 N State College Blvd, Fullerton, CA 92831, Fullerton, USA",Business Career Expo,2019-03-07,Trade Show,35000,LAX
62,128,"The Luxury Women's Expo, will exhibit premium brands from the luxury and lifestyle segment and will be the ultimate destination for all lifestyle products across the globe. The Luxury Women's Expo is only Middle East Women's Luxury & Lifestyle expo in Dubai, and will host all top-end, Opulent and never seen before products in Dubai this year.",2018-11-03,175,25.207714,55.262375,"Al Wasl and Al Safa Road Junction, Ext D71, Sheikh Zayed Rd - Jumeirah - Dubai, Dubai, UAE",The Luxury Women&;s Expo,2018-11-01,Trade Show,30000,DXB
63,677,Toy Fair - New York is the largest international toy fair. The event is filled with exhibitors and professionals of toy industries from different parts of the world gathered under a single roof. The exhibitors display their products and services to visitors and demonstrate the latest innovations and technologies used in the current products. This event is a dream come true for all kids. Even parents relive their childhood memories and have the time of their lives. The event also includes competitions and seminars to train newly established businesses and gain knowledge from professionals. This is a must-attend event for all toy industries.,2019-02-19,1000,40.757777,-74.002591,"655 W 34th St New York NY 10001, New York, USA",Toy Fair - New York,2019-02-16,Trade Show,30000,NYC
64,770,"CED Environmental Design Career Fair will showcase products like Government agencies promoting education, Banks providing Educational loans, Service Provider to Educational institutions, ICT solution providers etc.",2019-02-07,120,37.871899,-122.25854,"Berkeley, CA 94720, Berkeley, USA",CED Career Fair,2019-02-07,Trade Show,30000,SFO
65,78,"Bellavita Expo Bangkok joins forces with Food & Hotel Thailand, the leading premium international trade exhibition for food and hospitality business in Thailand and South East Asia, to showcase the very best Italian F&B products to over 29,000 buyers and industry professionals.",2019-09-07,400,13.669887,100.61001,"88 Bangna Trad Road Khwaeng Bang Na Bangna BANGKOK 10260, Bangkok, Thailand",Bellavita Expo Bangkok,2019-09-04,Trade Show,28841,BKK
66,59,"In 2019 the tradeshow Yarn Expo Spring - China International Trade Fair for Fibres and Yarns served as a presentation platform for 468 exhibitors. These tradeshow exhibitors presented their companies and services on a total of 13536 sqm at Yarn Expo Spring. 28302 visitors came to Yarn Expo Spring to inform themselves on the latest trends and innovations in the following main exhibit sectors: Fibres: natural fibres (cotton, wool, silk, flax / ramie), man-made fibres (regenerated and synthetic), specialty fibres - yarns: natural and blends yarns (cotton, wool, silk, linen / ramie), man-made and blends yarns (regenerated and synthetic), elastic yarns, fancy yarns, specialty yarns - computer related services - quality assurance - press and publications. In general the following kind of visitors are welcome at Yarn Expo Spring: Trade visitors. The frequency, at which Yarn Expo Spring is held, is annual, with intertextile shanghai apparel fabrics - spring edition and intertextile shanghai home textiles - spring edition. Yarn Expo Spring is hosted by the trade show organizers China Cotton Textile Association (CCTA), China Wool Textile Association (CWTA), China Chemical Fibres Association (CCFA), China Bast & Leaf Fibres Textiles Association (CBLFTA) and China Textile Information Centre (CTIC), Messe Frankfurt (HK) Ltd, The Sub-Council of Textile Industry, CCPIT TEX.",2019-03-14,-1,13.7397107,100.5112057,"Shanghai, China, PR",Yarn Expo Spring,2019-03-12,Tradeshow,28302,BKK
