,description,end_date,exhibitors,lat,lng,location,name,start_date,type,visitors
1062,"Conference on Current Trends in Survey Statistics would showcase the recent progress in the broad field of analysis of survey data, by putting a special emphasis on emerging areas dedicated to solving problems posed by the advances in data collection and computational techniques. It would also investigate the future directions of growth in these areas of interest. It will cover areas like Small Area Estimation, Data confidentiality, Record Linkage and Entity Resolution, Big data in Official Statistics, and Multiple Imputation Techniques.",2019-08-16,-1,1.292717,103.77976,"Singapore, Singapore",Conference on Current Trends in Survey Statistics,2019-08-13,Conference,-1
1063,"The Matlab Expo Spain joins together engineers, scientists and researchers to share knowledge, experiences, see live demos, listen to testimonies from other companies and learn more about functionalities and applications of MATLAB and Simulink.",2018-05-30,100,41.375485,2.148405,"Plaza Espana 6-8 08014 Barcelona, Barcelona, Spain",Matlab Expo Spain,2018-05-30,Trade Show,1000
1064,"The Film & Television Law conference will cover areas like Developments in employment relations, the unprecedented impact of PPSA on film financing and ever complex issues in producer offset legislation make practicing law in film and television a challenge.",2018-09-12,50,-33.864497,151.209944,"6&amp;7 1 OConnell St Sydney NSW 2000, Sydney, Australia",Film and Television Law Conference,2018-09-12,Conference,-1
1065,"Definitive Global Jewellery Show features a display of  hand cut Rubies, Sapphires, Emeralds, Precious and semi precious stones from around the globe, silver jewelry, antique jewelry, stone beads, natural stones, pendents, earrings, rings, chains, pressed glass, Venetian and Murano beads, silver, cooper, pearls, chains, wire, cords and tools and hand-made jewelry, and much more.",2018-11-17,500,25.227185,55.288806,"Sheikh Zayed Rd - Dubai, Dubai, UAE",The Definitive Global Jewellery Show,2018-11-14,Trade Show,50000
1066,"Cover Mental Health Forum aim to be the friendliest place on the web to discuss and get support on mental health issues. Whether you are experiencing depression, anxiety, bipolar, schizophrenia, self-harm, panic attacks or any other mental illness issue, you can talk about it with people who know what it's like. We spend time supporting each other and talking about important things in our life such as recovery, housing, money, friendships and relationships.",2019-03-14,-1,51.50662,-0.072779,"St Katharines Way St Katharines &amp; Wapping London E1W 1LD, London, UK",Cover Mental Health Forum,2019-03-14,Conference,-1
1067,The Women in Shipping Summit will provide the attendees with the opportunity to gain insights relating to the central theme that is The Essential 2020 Check-In: the Economy of Compliance in the Era of Sustainable Shipping.,2019-09-19,-1,1.291373,103.84485,"177A River Valley Rd, Singapore, Singapore",Women in Shipping Summit,2019-09-17,Conference,-1
1068,"Pacificon will feature areas like tuning duplexers, coax termination, configuring certain handheld radios, fundamentals of radio technology, antennas, public service, emergency response, digital communications, maker kits and just about any other subject of interest to hams.",2019-10-20,500,37.763002,-121.965174,"2600 Bishop Dr, San Ramon, CA 94583, San Ramon, USA",Pacificon,2019-10-18,Trade Show,50000
1069,"Adma Festival Of Marketing, Media Analytics And Advertising, organized by the ADMA Australia will take place on 2nd April 2019 at Sofitel Sydney Wentworth in Sydney, Australia. The conference will cover areas like global experts in data-driven marketing, media and advertising, global marketing innovations and technologies.",2019-04-02,50,-33.865537,151.211101,"61-101 Phillip Street, Sydney NSW 2000, Sydney, Australia","Adma Festival Of Marketing, Media Analytics And Advertising",2019-04-02,Conference,-1
1070,"Finance, Business & Banking Symposium will permit the exchange of ideas, knowledge between the different disciplines for facilitating research, interdisciplinary collaborations focusing Finance, Business & Banking Symposium. Finance, Business & Banking Symposium is intended to provide a special platform for professionals, academicians, researchers and students working in the arena to deliberately exchange opinions and their understandings in front of large transnational listeners.",2019-02-16,50,1.292368,103.858927,"7 Raffles Boulevard, Marina Square 039595, Singapore, Singapore","Finance, Business & Banking Symposium",2019-02-16,Conference,-1
1071,"The Global Conference and Expo on Diabetes will provide an international platform for discussion of present and future challenging and emerging issues in Diabetes. It explores topics such as Diabetic Types, Diabetes symptoms (Gender-specific and Common), Risk Factors For Diabetes, Pathophysiology of Diabetes, Oral and dental Complications of Diabetes Mellitus, Micro and Macrovascular Complications of Diabetes, and much more.",2019-03-12,50,25.270091,55.330984,"Corner of Salah Al Din Road and Abu Baker Al Siddique Road - Dubai, Dubai, UAE",Global Conference and Expo on Diabetes,2019-03-11,Conference,-1
1072,"The Lasers & Photonics Marketplace Seminar is the industry's only event which delivers a comprehensive analysis of the global market for lasers and all of the photonics. It leverage the brand's deep knowledge base, industry connections, and reputation to curate speakers and panelists that take a deep look at emerging opportunities, niche markets, and changing markets. It is the pre-eminent industry event for networking with senior-level executives, technology directors, and business managers from technology companies around the world.",2018-01-29,50,37.781992,-122.404881,"888 Howard St, San Francisco, CA 94103, San Francisco, USA",Lasers & Photonics Marketplace Seminar,2018-01-29,Conference,-1
1073,"The main exhibit sectors of the trade show AFE - Asia Funeral and Cemetery Expo & Conference are:Caskets, urns, tombstones, monuments, keepsake, disaster pouches, human remain bags, pathological and hospital supplies, pet funeral products, handicrafts, cremation equipment, cold storage equipment, morgue equipment, apparel, repatriation services, cemetery services, pre-planning, legal consulting services. In 2017 120 exhibitors presented innovations and trends at the trade show AFE. 2750 visitors seized AFE as an information platform. AFE is open to the following types of visitors: Trade visitors. Vertical Expo Services Co. Ltd is the trade show organizer in charge of AFE.",2019-05-16,-1,22.350627,114.1849161,"Hong Kong, Hong Kong",AFE,2019-05-14,Tradeshow,2750
1074,"Pharmaceutical Regulatory Affairs Asia focuses on Current priorities in regulatory compliance across the Globe and Asian Markets, Understand the approval, submission, registrations processes and differences in requirements for R&D products and generics, Regulations and procedures for generics, biosimilars, orphan drugs, combination products, biologics, Discover general country specific and regional requirements, Regulatory strategies for OTC products, and etc.",2019-04-23,500,1.302005,103.835934,"333 Orchard Road 238867, Singapore, Singapore",Pharmaceutical Regulatory Affairs Asia,2019-04-22,Trade Show,20000
1075,"Machine Learning for the Enterprise International Conference is focused on learning the techniques of AI/ML, realizing the promises and understanding the issues and challenges of applying AI/ML in all companies for business benefit. This Conference will explain the details of ML, describe the statistical foundations used in ML, suggested tools and techniques, and discuss some of the major issues in deploying powerful ML systems.",2019-10-29,50,41.908412,12.475944,"Via di Ripetta 231 00186 Roma, Rome, Italy",Machine Learning for the Enterprise International Conference,2019-10-28,Conference,-1
1076,"Chief Investment Officer Summit aims to inform and network the worldaEUR(tm)s largest asset owners and the people who advise them. It will provide the latest news, opinion, and research focusing on the overarching investment issues affecting public and corporate pension plans, endowments, foundations, healthcare capital pools, and sovereign wealth funds.",2018-05-11,-1,40.755532,-73.981463,"35 W 44th St, New York, NY 10036, New York, USA",Chief Investment Officer Summit,2018-05-10,Conference,-1
1077,"The International Cash & Treasury Management is designed for finance, treasury, and banking professionals who have at least five years of practical experience in various roles in treasury management and who need to gain a deeper practical knowledge of advanced treasury management techniques. Study how the implementation of tax-efficient account structures, effective hedging strategies, accurate cash flow forecasting processes and fully optimized working capital approaches may add value to your business.",2018-05-17,-1,25.7929198,-80.1353006,"Miami Beach, USA",International Cash & Treasury Management,2018-05-15,Conference,-1
1078,"The Responsible Investment Forum New York will be bringing together the LPs, GPs, and associations leading the way in responsible investment practices. It is a platform to learn how to manage and monitor an ESG policy that aligns with your primary responsibility of delivering returns to investors, and get involved in a community dedicated to creating more sustainable value, brought together over the past seven years by PEI and UN PRI.",2019-03-06,50,40.753052,-73.973072,"730 3rd Ave New York NY 10017, New York, USA",Responsible Investment Forum New York,2019-03-05,Conference,-1
1079,"The Youth Mindfulness Kids Program is a platform to inspire young minds. Learn to teach mindfulness in a way that is fun, dynamic and transformative! Nurture the wellbeing of 7-11-year-olds by bringing to life their innate potential for awareness, happiness, and kindness.",2018-08-17,50,51.5073219,-0.1276474,"London, UK",Youth Mindfulness Conference,2018-08-13,Conference,-1
1080,"International Conference on Health Informatics and Medical Systems is an international conference that serves researchers, scholars, professionals, students, and academicians who are looking to both foster working relationships and gain access to the latest research results. It cover the areas like Information Technologies for Healthcare Delivery and Management, Health Data Acquisition, Management and Visualization, Healthcare Knowledge Management and Decision Support, Healthcare Communication Networks and Environments and much more.",2019-08-01,50,36.09551,-115.176067,"3900 S Las Vegas Blvd, Las Vegas, NV 89119, Las Vegas, USA",International Conference on Health Informatics and Medical Systems,2019-07-29,Conference,-1
1081,Advanced Factory is a platform to find out the latest advances and cutting-edge technology that will transform factories into digital factories due to the use of advanced technology. Inspire yourself with the newest innovation and learn how to optimize your business.,2019-04-11,300,41.409407,2.219077,"Willy Brandt Square 11-14 08019 Barcelona, Barcelona, Spain",Advanced Factories,2019-04-09,Trade Show,16000
1082,"The Fintech Week Silicon Valley will focus on broader trends in Fintech.  The idea was to help fast-track innovation by getting the right people in the room in a casual, frictionless environment and let the magic happen organically.",2018-08-16,50,37.496904,-122.3330573,"San Mateo, USA",Fintech Week Silicon Valley,2018-08-13,Conference,-1
1083,"The Future of Finance Vietnam is the leading conference that brings financial institutions, regulators, policy makers, services providers to meet and share the most professional insights, work on detailed solutions and discuss latest trends in the industry.",2018-01-12,50,21.0277644,105.8341598,"Hanoi, Vietnam",The Future of Finance Vietnam,2018-01-12,Conference,-1
1084,"Certified Sustainability Practitioner Program on key challenges that professionals have to face in the field of Sustainability, Supply Chain, Corporate Responsibility, Corporate Communications, Sustainable Development and Circular Economy.",2019-06-07,50,40.7308619,-73.9871558,"New York, USA",Certified Sustainability Practitioner Program,2019-06-06,Conference,-1
1085,"Regulations & Compliance gives the opportunity to closely connect with senior decision-makers in Compliance, Legal, Risk, and Operations. It will offer attendees the opportunity to learn how they can grow their brand, gain market exposure and meet new sales prospects for their product and service offerings.",2018-09-19,50,51.493341,-0.183343,"4-18 Harrington Gardens Kensington London SW7 4LH, London, UK",Regulations & Compliance,2018-09-18,Conference,-1
1086,"Second Youth Summit will feature new facts, new occupations, changes of unimaginable speed occur in almost all areas of human action, confronting us with questions and challenges that engage our thinking like can brain drain be converted into wisdom gain, what are the new trends shaping the future workplace, do we live in an intelligently adaptable world, and much more.",2019-03-28,-1,37.957373,23.718229,"Leof. Andrea Siggrou 115, Athina 117 45, Greece, Athens, Greece",Second Youth Summit,2019-03-28,Conference,-1
1087,"Events Uncovered provides you a great opportunity to go behind the scenes of events, and discover the hottest trends in theming, venues, catering, audiovisual, photography and much more. This event will give you the opportunity to learn about a great new product, engage directly with expert suppliers and gain first-hand experience of the best parts of the industry in a face-to-face environment.",2019-07-02,500,-33.87798,151.208195,"66 Goulburn St, Sydney NSW 2000, Sydney, Australia",Events Uncovered,2019-07-02,Trade Show,5000
1088,The main goal of the International Conference on Education and Psychological Science is to provide an opportunity for academicians and professionals from various education related fields from all over the world to come together and learn from each other. An additional goal of the conference is to provide a place for academicians and professionals with cross-disciplinary interests related to education to meet and interact with members inside and outside their own particular disciplines.,2019-01-30,50,1.291937,103.849793,"5 Coleman Street 179805, Singapore, Singapore",International Conference on Education and Psychological Sciences,2019-01-28,Conference,-1
1089,"One Day Essential Sexual Health will cover relevant clinical guidelines, policies and guidance to healthcare professionals in relation to patients with sexual health issues in General Practice. At this conference attendees will learn to be better able to diagnose and treat common sexual health health problems and be able to appropriately manage more challenging or complex cases, be able to use practical brief sexual consultation and screening techniques within the 10 minute consultation to help patients, and be more confident in managing sexual health consultations.",2019-07-01,50,51.526574,-0.134381,"30 Euston Square, Kings Cross, London NW1, London, UK",One Day Essential: Men&;s Health,2019-07-01,Conference,-1
1090,"The International Conference on Sleep Disorders and Psychiatry focuses on the theme that is eradicating sleep disorder by psychiatric approaches and therapy. The focal tracks include sleep disorders, psychiatry, psychiatric disorders, insomnia and circadian rhythm disorders, and much more.",2018-07-17,-1,51.48238,-0.450463,"Bath Rd, Sipson, Heathrow UB7 0DU, London, UK",International Conference on Sleep Disorders and Psychiatry,2018-07-16,Conference,-1
1091,"ATS London will feature speakers from the most innovative and important companies in the automated and data-driven marketing and advertising industry, both big and small, presentation and discussion of the most important issues and challenges facing the industry today, and exchangeWire lead debate that will challenge your understanding of the industry, educate and entertain.",2018-09-10,50,51.507144,-0.115566,"Belvedere Rd, South Bank, London SE1 8XT, London, UK",ATS London,2018-09-10,Conference,-1
1092,"DigiMarCon Middle East is the one digital marketing event you canaEUR(tm)t afford to miss! Whether your goal is to reinforce customer loyalty, improve lead generation, increase sales, or drive stronger consumer engagement, itaEUR(tm)s agenda will help attendees enhance their marketing efforts. Sessions will focus on building traffic, expanding brand awareness, improving customer service and gaining insight into todayaEUR(tm)s latest digital tools.",2018-10-24,153,25.278801,55.304289,"Al Khaleej Road,Deira Corniche,Deira - Dubai, Dubai, UAE",DigiMarCon Middle East - Digital Marketing Conference,2018-10-23,Conference,-1
1093,"The Safety & Security Conference is focused on where businesses, technology and innovation converge, aiming at the safe, orderly operation and efficiency of businesses and it is addressed to all executives and senior executives who are responsible for safety in the workplace, executives physical security services, officials from ministries and institutions, security technicians as well as equipment suppliers of solutions and services on safety, protection, control and accident prevention as well as fire and fire protection.",2019-02-28,-1,38.039475,23.803389,"Fragoklissias 3a and Granicus, Marousi 151 25, Marousi, Greece",Safety & Security Conference,2019-02-28,Conference,-1
1094,"ETEM High Growth Traders is the only forum of its kind dedicated to helping high growth firms optimize their energy trading business units and transition into more efficient, automated organizations.",2019-10-11,100,51.5073219,-0.1276474,"London, UK",ETEM High Growth Traders,2019-10-11,Trade Show,1000
1095,"European Heart Congress is focusing on fifty shades of cardiological research and healthcare innovations to enhance and explore knowledge among the medical community and to establish corporations and exchanging ideas. Providing the right stage to present stimulating Keynote talks, plenary sessions, and etc. Anticipates over 200 participants around the globe with path-breaking subjects, discussions and presentations.",2019-10-22,50,48.8566101,2.3514992,"Paris, France",European Heart Congress,2019-10-21,Conference,-1
1096,"The Girls in Tech Catalyst Conference is a can't miss opportunity for the attendees to get amped about their career and meet the community of people who can help get them where they want to go. This event will be featuring high-energy keynotes, inclusive panel discussions, and breakout sessions with leaders at the forefront of the technology and business sectors and it offers delegates the opportunity to acquire tactical skills, gain the know-how to navigate career twists and turns and join a community of role models, mentors, and new friends.",2019-09-04,50,51.52063,-0.091594,"52 Chiswell St London EC1Y 4SD, London, UK",Girls in Tech Catalyst Conference,2019-09-04,Conference,-1
1097,"It is great pleasure for IBSSH to invites Educators and Researchers from the World Community, to come to Dubai and to engage in academic discussions on research topics in various disciplines. Academic Members and their associates are more than welcome to organize such academic meetings in any scientific area of their interest. The implementation of IBSSH Aims to Increase the dissemination of scientific work and research. Its aims to Enrich academic skills and exposure of the teaching staffs, graduate, and post-graduate students through presentation and publication.",2018-11-23,50,13.742812,100.549696,"566 Ploenchit Road, Patumwan ,, Road, Lumpini Lumpini, Bangkok 10330, Bangkok, Thailand",International Conference on Education Economics Business and Social Science Research,2018-11-22,Conference,-1
1098,"CharityComms Autumn pub quiz is a 1 day event being held on 7th Mar 2019 at The Minories in London, United Kingdom. This event will help raise the standards of communications across the sector, to fly the flag for communications as a vital strategic function at the heart of charities, and to connect communications professionals through sharing best practice.",2018-09-06,100,51.510711,-0.07496,"64-73 Minories, London EC3N 1JL, London, UK",CharityComms Autumn pub quiz,2018-09-06,Trade Show,1000
1099,"The London Antique Arms Fair provides the attendees with the opportunity to explore the exhibit of products such as guns new & used, scopes, rings, accessories, gun cases, knives, knife sharpening, Rada knives, accessories, safes, custom handmade gun cabinets, wild game jerky, a wide variety of items available, collectibles, and much more.",2019-04-13,500,51.597844,-0.238091,"Grahame Park Way, London NW9 5LL, Edgware, UK",London Antique Arms Fair,2019-04-13,Trade Show,20000
1100,"Loan Syndications & Trading Association Conference will cover areas like Loan Market, Increase market transparency and efficiency, Educate market participants. The LSTA promotes a fair, orderly, efficient, and growing corporate loan market and provides leadership in advancing and balancing the interests of all market participants.",2019-10-30,50,40.762356,-73.979626,"1335 6th Ave New York NY 10019, New York, USA",Loan Syndications & Trading Association Conference,2019-10-30,Conference,-1
1101,"Mining Disrupt Conference Miami will bring together industry participants ranging from enterprise consortia to Wall Street wolfs to Miners, Hosters, ASIC Makers, Coin Developers and Crypto Professionals from all Industries and backgrounds Come Together all while discovering the disruptive blockchain startups and innovators that will revolutionize the industry in 2020.",2019-07-24,-1,25.7742658,-80.1936589,"Miami, USA",Mining Disrupt Conference Miami,2019-07-23,Conference,-1
1102,"Global Health Film Festival is an art form, a language, an educational tool, a method of information delivery, and a vehicle for social marketing. Film has the power to communicate stories, to stir emotions, to inspire, to encourage action and to redress inequities in health.",2018-12-09,50,51.525851,-0.133945,"183 Euston Rd, Bloomsbury, London NW1 2BE, London, UK",Global Health Film Festival,2018-12-07,Conference,-1
1103,"Housing Society Management Show aims to connect professional Housing Society management services and co-op housing societies under one umbrella. The ticket size of potential in Maharashtra alone is about 80,000-odd co-operative housing societies. There seems to be a not only a lack of knowledge amongst housing society members about professional services they can hire to run their societies better but also a shortage of advertising mediums or platforms for the professional services providers and manufacturers to reach out to the housing societies.",2018-12-16,500,18.989242,72.815087,"Dr. Annie Besant Road Worli Mumbai 400018 Dr Annie Besant Rd Lotus Colony Worli Mumbai Maharashtra 400018, Mumbai, India",Housing Society Management Show,2018-12-14,Trade Show,20000
1104,"At SANS San Francisco Learn directly from the world's top cybersecurity practitioners. This event will cover topics like Cyber Defense, Ethical Hacking, Penetration Testing, Digital Forensics, Security Management, Secure DevOps etc.",2019-03-16,50,37.785901,-122.410833,"333 OFarrell St San Francisco CA 94102, San Francisco, USA",Sans San Francisco,2019-03-11,Conference,-1
1105,"Royal Marsden Breast Cancer Meeting aims to provide an update on what is new, challenging and controversial in the management of patients with breast cancer. This year we will address some dilemmas during neo-adjuvant therapy including imaging techniques and surgical management of the axilla. We will discuss some of the common questions that patients ask, namely who needs genetic testing nowadays and what diet should be followed, in addition to providing an update on molecular testing and emerging novel therapies.",2019-10-04,50,51.525865,-0.145281,"11 St Andrews Pl, London NW1 4LE, UK, London, UK",Royal Marsden Breast Cancer Meeting,2019-10-04,Conference,-1
1106,"Clinical trials congress 2018 will examine different orders required in the pre-clinical research, conduct of clinical trials; it will teach healthcare analysts about plan, operation, organizing, computation of the data, administrative angles and reporting of clinical trials. It promotes better comprehension by the overall population about the significance of clinical trials in anticipation, determination, morals related with the clinical trials and treatment of ailments. Presentations, distribute information, meet with current and potential researchers, make a sprinkle with new clinical research improvements, and get name acknowledgment at this 2-days occasion. Widely acclaimed speakers and the latest techniques, improvements, newest updates in clinical research are hallmark of this gathering. And furthermore we attempt to empower the budding researchers by felicitating them with appealing prizes.",2018-05-15,15,1.288878,103.834491,"317 Outram Rd 169075, Singapore, Singapore",World Congress on Advanced Clinical Trails and Clinical Research,2018-05-14,Conference,-1
1107,"The Wedding Fayre Essex display products like wedding dress collections, veils & accessories, bridesmaid dress collections,florists & floral artists, wedding stage & displays, party decorations, wedding cakes & pastries, wedding caterers, wedding halls, bridal beauticians, tattoo artists, bridal cosmetics & beauty products, invitation cards, wedding gifts, jewelry, boutiques & fashion designers, bridal wear, wedding planners, travel agencies, orchestra group, matrimonial bureaus, and much more.",2019-01-20,500,51.822592,0.796771,"Layer Marney CO5 9US, UK, Essex, UK",The Wedding Fayre Essex,2019-01-20,Trade Show,20000
1108,"The main exhibit sectors of the trade show AIME - Aircraft Interiors Middle East - Exhibition and Conference are:Cabin interiors, inflight entertainment, catering. In 2019 330 exhibitors presented innovations and trends at the trade show AIME. 5004 visitors seized AIME as an information platform. AIME is open to the following types of visitors: Trade visitors. F & E - A Tarsus Group Company is the trade show organizer in charge of AIME.",2019-02-12,-1,25.0750095,55.1887608818,"Dubai, United Arab Emirates",AIME,2019-02-11,Tradeshow,5004
1109,Medical Device Studies: Clinical Evidence is designed specifically for those who are involved in gathering clinical evidence required for medical devices. It will cover the full range of activities that should be applied during the collection of clinical evidence for both pre- and post- market studies and will also provide delegates with information on the European regulations for gathering clinical evidence and conducting medical device studies and help them to run studies in Europe and other countries. Delegates will benefit from advice and tips from industry experts on the practicalities of conducting studies within Europe as well as the types of clinical data to collect in order to be compliant with the new MDR.,2018-11-15,50,51.496,-0.170317,"11 Thurloe Pl, Kensington, London SW7 2RS, London, UK",Medical Device Studies: Clinical Evidence,2018-11-14,Conference,-1
1110,"The trade show SITL Europe - International Week of Transport and Logistics takes place in Paris, France. The frequency of the trade show is annual, with mit Transport Next Generation and in alternation with SITL Paris. In 2016 755 exhibitors seized the trade show SITL Europe as a presentation platform for their products and services. With their trade show participation exhibitors occupied 13952 sqm. 16081 visitors attended SITL Europe to inform themselves on innovations and trends in their business. The main exhibit sectors of the trade show SITL Europe are:Transport and intermodal services, overseas services, logistics services, transport and logistics equipment and services, transport and logistics technologies and information services, logistics infrastructure, logistics real estate, complementary services. Reed Expositions France is the trade show organizer in charge of SITL Europe.",2018-03-23,-1,48.8566101,2.3514992,"Paris, France",SITL Europe,2018-03-20,Tradeshow,16081
1111,"New York Tech-Security Conference is focused on providing the attendees with the latest best practices, products, and service available to them right now in an educational environment. Whether the attendees are concerned with information security, cyber security, network security or particular topics such cloud computing, the evolving IT landscape as well as how to combat cyber criminals, they will leave the event better informed and ready to tackle the issues at hand inside their organization.",2018-08-23,50,40.762356,-73.979626,"1335 6th Ave New York NY 10019, New York, USA",New York Tech-Security Conference,2018-08-23,Conference,-1
1112,Vegan Street Fair is a free entry annual all ages vegan food celebration where local vegan and vegan-friendly restaurants and vendors come together to serve you bite-size portions of vegan eats and sell you vegan wares all in one place.,2019-03-24,500,34.054935,-118.244476,"Los Angeles, USA",Vegan Street Fair North Hollywood,2019-03-23,Trade Show,20000
1113,"The forum is a momentous stepping stone on Dubai's journey to become a global pacesetter in innovative healthcare, and will bring together highly respected decision makers, health practitioners, international guest speakers, industry experts, multinational corporates and innovators launching next-generation, game-changing technologies. The event will be a driver towards: Engage and network with various healthcare stakeholders to share ideas, perspectives, and forward-thinking trends, Share examples and innovative approaches for the region with regards to promoting and sustaining healthy lifestyles and healthcare delivery outcomes, Acquire actionable insights regarding Dubai's future directions in healthcare.",2018-01-16,50,25.227185,55.288806,"Sheikh Zayed Rd - Dubai, Dubai, UAE",Dubai Health Forum,2018-01-15,Conference,-1
1114,"New Plant Fair Middleton display products like plant care products & services, pottery, water management, seeds, soiling, plantation and more.",2019-07-21,500,53.4791301,-2.2441009,"Middleton Hall Tamworth Staffordshire B78 2AE, Manchester, UK",Plant Hunter Fair Middleton,2019-07-21,Trade Show,5000
1115,"Loading Master Certificate is designed for anyone with immediate responsibility for loading, discharging and care in custody transfer or handling oil (Crude, Petroleum Products) cargoes. Personnel in port management, terminal operations, port policy, nautical operations and shipping management could find it beneficial.",2019-06-21,50,1.3408528,103.8784468637,"Singapore, Singapore",Loading Master Certificate,2019-06-19,Conference,-1
1116,"Cloud & Infrastructure Live is a one-day, two-stream event that considers how we can make the most of cloud computing, how to prepare for the opportunities and consider the difficult decisions we all need to make on our journeys.",2019-09-19,50,51.504625,-0.081436,"5 More London Place, Tooley Street, London SE1 2BY, London, UK",Cloud & Infrastructure Summit,2019-09-19,Conference,-1
1117,"Probiota Asia will bring together the biggest names in business, leading academics and regulatory experts to discuss, debate and share their insights into Asia's booming probiotics industry. This event will provide a forum for prebiotic, probiotic and microbiota focused food and pharma industries to uncover business opportunities, stimulate innovation and drive collaboration.",2019-10-24,50,1.305891,103.82942,"581 Orchard Rd 238883, Singapore, Singapore",Probiota Asia,2019-10-22,Conference,-1
1118,"North Bergen Flea Market & Collectible Show will display products like new merchandise such as unique items, handbags, incense and oils, sports collectables, jewellery, gift items and a special section for antiques & collectables, garage, tag sale items and much more.",2019-03-09,500,40.809635,-74.001545,"9280 John F. Kennedy Blvd, North Bergen, NJ 07047, USA, North Bergen, USA",North Bergen Flea Market & Collectible Show,2019-03-09,Trade Show,5000
1119,"The trade show Italian Fashion @ NY Women's - Presentation of Italian Womenswear Collections and Accessories takes place in New York, USA. The frequency of the trade show is twice a year. Italian Fashion @ NY Women's is held at the venue Jacob K. Javits Convention Center. Italian Fashion @ NY Women's is open to the following types of visitors: Trade visitors. E.M.I. Ente Moda Italia S.r.l. is the trade show organizer in charge of Italian Fashion @ NY Women's. On m+a ExpoDataBase Italian Fashion @ NY Women's is assigned to the business sectors: Apparel, Clothing, Fashion, Ready-to-Wear.",2018-09-17,-1,40.7308619,-73.9871558,"New York, USA",Italian Fashion @ NY Women's,2018-09-15,Tradeshow,-1
1120,"International Conference on Contemporary Issues in Science, Engineering & Management is the premier meeting place for researchers, professors, students and professionals of different areas. Now the conference is extended across many regions of the world. This conference intends to bring together and provide a common platform to accumulate and exchange the innovative ideas, latest knowledge and unique experiences for the benefits of researchers, professors, industrialists, academicians, students, and other participants.",2019-02-17,-1,22.382302,114.196445,"Hong Kong Sha Tin 34-36 Tai Chung, Hong Kong, Hong Kong","International Conference on Contemporary Issues in Science, Engineering & Management",2019-02-16,Conference,-1
1121,"Tacoma Home and Garden Show features a display of kitchens, room additions, bathrooms, interior decorating, fireplaces, outdoor equipment, heating and air conditioning, remodeling contractors, security, siding, appliances, windows, doors, fencing, roofing, fitness equipment, spas and much, much more.",2018-01-28,1000,47.236669,-122.42703,"2727 E D St, Tacoma, WA 98421, Tacoma, USA",Tacoma Home & Garden Show,2018-01-25,Trade Show,20000
1122,"Digital Health World Forum features future of digital health with ai and block chain, the impact of genomics on global healthcare, how ai-doc will transform patient care globally, how digital pharma will create new markets, exploring personalized medicine market with ai, digital health ecosystem strategies and etc.",2018-11-29,50,51.501964,-0.194673,"Kensington, London, لندن، W8 7NX, UK, London, UK",Digital Health World Forum,2018-11-28,Conference,-1
1123,"Light + Building is a show of international stature that presents the latest in daylight technology decorative lighting and technology, electrical and electronic devices, electric lamps, insulation controls, LED lighting systems, energy management and control systems and much more. This show is specifically organized in the lines of intelligent sustainability, smart powered buildings, people and lights and within these specified themes presents an array of innovative products and systems. With a complete focus on the latest trends in the lighting industry, this event transforms into the showground of the latest solutions and systems.",2018-03-23,2700,50.110245,8.648338,"Ludwig-Erhard-Anlage 1 60327 Frankfurt am Main, Frankfurt, Germany",Light + Building,2018-03-18,Trade Show,220000
1124,"Native American SPARK Research Forum is a research forum open to all Stanford undergraduate and graduate students. Graduate and undergraduate students will present research related to Indigenous Peoples in the areas of Archaeology, Education, History, Public Policy and Interdisciplinary Studies.",2018-04-18,-1,37.424782,-122.169985,"Stanford, CA 94305, Stanford, USA",Native American SPARK Research Forum,2018-04-18,Conference,-1
1125,"The Health Insurance Asia is as the healthcare sector expands, the consumer of today is more informed, has access to more data, and is spoilt for choice. Opportunities though are being created for the entire ecosystem. The time is ripe for health insurers to capitalize on a growing market through product innovation, redefining customer engagement, adopting digitalization and collaborating with providers, payers, and insurtech to redefine business models.",2019-04-25,50,1.3408528,103.8784468637,"Singapore, Singapore",Health Insurance Asia,2019-04-23,Conference,-1
1126,"Cell & Gene Therapy Manufacturing will be dedicated to focusing on the development of manufacturing processes for these products. With presentations on improving cost efficiency, innovative strategies for commercialisation as well as closed system processing, optimised manufacturing scheduling and maintaining GMP compliance, this forum is one that is not to be missed.",2018-11-15,50,51.455936,-0.341516,"Whitton Rd, Twickenham TW2 7BA, Twickenham, UK",Cell & Gene Therapy Manufacturing,2018-11-13,Conference,-1
1127,"The Jefferies Industrials Conference convenes over 150 participating companies and 1,000 attendees along with a global gathering of leading executives, institutional investors, private equity investors and VCs who will address near- and long-term investment opportunities and discuss the mechanisms driving healthcare in the U.S. and internationally. This conference will also feature an extensive range of public & private healthcare companies across the Biopharmaceuticals, Life Sciences, Healthcare Services, Healthcare IT and Medical Technology sectors.",2019-08-08,50,40.760337,-73.974418,"520 Madison Ave, New York, NY 10022, New York, USA",Jefferies Industrials Conference,2019-08-06,Conference,-1
1128,"Theale Flower Show is a 1 day event being held on 7th Sept 2019 in Theale, United Kingdom.This event provide opportunity to purchase the goods and equipment of gardening, flowers, garden, home gardening products, plants & much more etc.",2018-09-01,100,51.438064,-1.076722,"Theale, UK",Theale Flower Show,2018-09-01,Trade Show,1000
